method,terrain_name,motor_tested,chassis_type,battery_type,battery_modules,status,feasible,largest_violation,parachute_diameter,wheel_radius,chassis_mass,gear_diameter,fuel_mass_per_rocket,time_edl,time_rover,time_total,landing_velocity,avg_velocity,distance_traveled,energy_per_distance,total_cost,objective_value
differential_evolution,experiment1,,magnesium,LiFePO4,10,success,True,,16.609993996955485,0.6799297860009424,258.04367462768175,0.05125799108306618,289.3505149594012,144.66830397872195,417.4463593120912,562.1146632908132,-0.09997687063631092,2.309934124005942,1000.0,806.8894224038115,6504852.813366594,562.1146632908121
differential_evolution,experiment1,,magnesium,LiFePO4,9,success,True,,16.604016498148972,0.6851115041352084,260.41340240497334,0.052452467471903436,285.55947666286966,165.32788364719096,416.96738589236725,582.2952695395581,-0.09997669296115798,2.308126198460705,1000.0,751.530408567297,6295015.108864936,582.2952695395577
differential_evolution,experiment1,,magnesium,LiFePO4,8,success,True,,16.600679095543875,0.6835434719610499,250.68844179021647,0.051913707169178785,289.35654106750354,153.347045058916,407.217890910485,560.564935969401,-0.09997676675958984,2.3678515568950274,1000.0,723.4574470534366,6012031.2482255185,560.5649359694
differential_evolution,experiment1,,magnesium,LiFePO4,7,success,True,,16.63525386800859,0.6790047865561677,250.03870563083632,0.05607115885708855,289.3981100669967,160.4017792048617,426.9211569548891,587.3229361597508,-0.09997684541877071,2.2486486011336937,1000.0,592.3628854818239,5806382.364428152,587.3229361597503
differential_evolution,experiment1,,magnesium,LiFePO4,6,success,True,,16.602239789593767,0.6573301559648483,251.55312301679442,0.0588238067915072,289.8170204753866,155.20781967723738,456.8973357148941,612.1051553921315,-0.09997677377944304,2.10379171705852,1000.0,540.2912144893376,5606427.286690375,612.1051553921307
differential_evolution,experiment1,,magnesium,LiFePO4,3,infeasible,False,0.7379903126167598,17.25763794026585,0.6985084286393314,250.15648195202982,0.07525606000284217,267.70092284651224,,,,,,,,,inf
