method,terrain_name,motor_tested,chassis_type,battery_type,battery_modules,status,feasible,largest_violation,parachute_diameter,wheel_radius,chassis_mass,gear_diameter,fuel_mass_per_rocket,time_edl,time_rover,time_total,landing_velocity,avg_velocity,distance_traveled,energy_per_distance,total_cost,objective_value
differential_evolution,experiment1,base,magnesium,PbAcid-1,10,success,True,,16.587986255735977,0.6864401014302499,251.26102566723807,0.05626886107242046,258.08416373356096,136.75874260316047,895.2542057188439,1032.0129483220044,-0.10009683361930521,1.1026770333077296,1000.0,1114.706812855185,5391928.062589314,1032.012947485512
differential_evolution,experiment1,base_he,magnesium,PbAcid-1,10,success,True,,16.857577603081367,0.6791831495142345,250.6378314823989,0.05474566620031278,264.8231160049507,136.78605794870742,894.1762867446696,1030.962344693377,-0.10060140292209947,1.1067751919930038,1000.0,858.737803772921,5576768.337680852,1030.9623298910951
differential_evolution,experiment1,torque,magnesium,PbAcid-1,10,success,True,,17.111540467563884,0.6873315454118356,252.6998531318403,0.05053380296373545,269.95856607245673,139.0512780074286,728.7141882350272,867.7654662424559,-0.10001101934129548,1.3472893294810377,1000.0,1881.1639643048945,5701963.558923229,867.7654606397481
differential_evolution,experiment1,torque_he,magnesium,PbAcid-1,10,success,True,,17.33611918344143,0.6804193602714259,252.81366799495845,0.05017646935348222,275.7987734076603,138.09094302112055,728.8532262762063,866.9441692973269,-0.10081141094557572,1.3481615087069212,1000.0000000000001,1123.4427603118793,5931711.860604797,866.9437441514617
differential_evolution,experiment1,speed,magnesium,PbAcid-1,10,success,True,,17.646807066535054,0.6790822687734754,252.1377300442175,0.0627926078036427,282.9801477644611,139.1662401006905,614.4589058201219,753.6251459208124,-0.10060299334647804,1.596951187102983,1000.0,1234.1452977229883,5802057.298866137,753.6249441625907
differential_evolution,experiment1,speed_he,magnesium,PbAcid-1,10,success,True,,16.670352769930247,0.6829879729482323,257.3734395318619,0.06359068716295524,259.06206389398875,137.71298363568627,617.521848066679,755.2348317023652,-0.10000879509927434,1.5851487426437645,1000.0000000000001,1055.3778525152968,5993628.536736515,755.2348749344276
